UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,Citation,RELATIONSHIP,DATE,LOCATION PRECISION
93f1281e-d556-4b8f-bc1a-f09575797353,Etruscans,char-offset:45590,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,45",,386 B.C.,
861566a9-d4b4-4c84-b834-cd70ef83d19c,Etruscans,char-offset:46268,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"5,45",,386 B.C.,
e61c6fd8-5b52-4604-b976-8b98c3594fb8,Fabii,char-offset:22913,PLACE,,,,,,"5,36",,386 B.C.,
abc102ed-8be4-4ae3-87c7-452a206ced80,Fabii,char-offset:23075,PLACE,,,,,,"5,36",,386 B.C.,
8cf2381e-b52d-4693-b6e0-ca7c317fe7f2,Fabii,char-offset:23861,PLACE,,,,,,"5,36",,386 B.C.,
f47412db-8c91-4317-a0f0-1f468786d2da,Falerii,char-offset:28352,PLACE,http://pleiades.stoa.org/places/413125,"Falerii|Falerii Veteres|Falerii Veteres, Civita Castellana|Falerii, Santa Maria di Falleri, Fabrica di Roma",42.2911,12.4146,"amphitheatre,theatre,settlement,city-gate","5,7",,403 B.C.,
678eac63-4e88-4899-b674-448b89777be3,Falerii,char-offset:40815,PLACE,http://pleiades.stoa.org/places/413125,"Falerii|Falerii Veteres|Falerii Veteres, Civita Castellana|Falerii, Santa Maria di Falleri, Fabrica di Roma",42.2911,12.4146,"amphitheatre,theatre,settlement,city-gate","5,11",,401 B.C.,
c4cb50b1-e53c-4639-a4bd-b79974c3953c,Falerii,char-offset:43877,PLACE,http://pleiades.stoa.org/places/413125,"Falerii|Falerii Veteres|Falerii Veteres, Civita Castellana|Falerii, Santa Maria di Falleri, Fabrica di Roma",42.2911,12.4146,"amphitheatre,theatre,settlement,city-gate","5,12",,400 B.C.,
c12bf0d4-7488-4b29-a987-9dcee9325e4d,Falerii,char-offset:47502,PLACE,http://pleiades.stoa.org/places/413125,"Falerii|Falerii Veteres|Falerii Veteres, Civita Castellana|Falerii, Santa Maria di Falleri, Fabrica di Roma",42.2911,12.4146,"amphitheatre,theatre,settlement,city-gate","5,14",,399 B.C.,
26db720c-ca15-402c-9e3a-4a2376ee413f,Falerii,char-offset:79295,PLACE,http://pleiades.stoa.org/places/413125,"Falerii|Falerii Veteres|Falerii Veteres, Civita Castellana|Falerii, Santa Maria di Falleri, Fabrica di Roma",42.2911,12.4146,"amphitheatre,theatre,settlement,city-gate","5,26",,390 B.C.,
47a18d82-4fe2-4e77-8f48-cdb4b4cc6931,Falerii,char-offset:80443,PLACE,http://pleiades.stoa.org/places/413125,"Falerii|Falerii Veteres|Falerii Veteres, Civita Castellana|Falerii, Santa Maria di Falleri, Fabrica di Roma",42.2911,12.4146,"amphitheatre,theatre,settlement,city-gate","5,27",,390 B.C.,
c0cddad3-5645-4620-bf93-f4dcf46def01,Falerii,char-offset:81216,PLACE,http://pleiades.stoa.org/places/413125,"Falerii|Falerii Veteres|Falerii Veteres, Civita Castellana|Falerii, Santa Maria di Falleri, Fabrica di Roma",42.2911,12.4146,"amphitheatre,theatre,settlement,city-gate","5,27",,390 B.C.,
77e4aca1-a9d9-4470-a90c-8312344241f7,Falerii,char-offset:41998,PLACE,http://pleiades.stoa.org/places/413125,"Falerii|Falerii Veteres|Falerii Veteres, Civita Castellana|Falerii, Santa Maria di Falleri, Fabrica di Roma",42.2911,12.4146,"amphitheatre,theatre,settlement,city-gate","5,43",,386 B.C.,
9152d330-a83e-4daf-acab-0a4a7dc18749,Faliscans,char-offset:69846,PEOPLE,http://pleiades.stoa.org/places/413128,Falisci,42.25,12.25,people,"5,21",,392 B.C.,
1a00134b-717a-4697-8068-1dbbbfabc6ff,Father Quirinus,char-offset:66325,PERSON,,,,,,"5,52",,386 B.C.,
a3e44453-2192-4687-9e83-e704675e187f,Fidenae,char-offset:24196,PLACE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"5,37",,386 B.C.,
fa12d07a-31e1-4dc0-933d-5d84271b01af,Fidenae,char-offset:72555,PLACE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"5,54",,386 B.C.,
cc605f07-a6e3-4e05-91d9-44b2bd2f4cb6,Gabii,char-offset:57774,PLACE,http://pleiades.stoa.org/places/422932,"Gabii|Gabii, Castiglione, Roma|Castiglione Cosentino",41.8871,12.71738,"sanctuary,settlement,temple-2","5,49",,386 B.C.,
1c7a15a9-5c1b-4884-abda-e1ae42d46b1f,Gabii,char-offset:72566,PLACE,http://pleiades.stoa.org/places/422932,"Gabii|Gabii, Castiglione, Roma|Castiglione Cosentino",41.8871,12.71738,"sanctuary,settlement,temple-2","5,54",,386 B.C.,
e58adeb9-e757-485f-a8e8-00d7985a3804,Gaul,char-offset:16363,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,34",,390 B.C.,
40576669-db9b-411e-8ecb-ec8d381a1c44,Gaul,char-offset:37331,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,41",,386 B.C.,
23613289-6450-41db-ad8b-1b8328a46f02,Gaul,char-offset:44339,PEOPLE,http://pleiades.stoa.org/places/148114,Libicii?,43.75,4.25,people,"5,44",,386 B.C.,
