ID,Quote Trans,Anchor,Types ,URI,Vocab,LAT,LNG,Place_Type,Citation,Relationship,Date,Location Precision 
880ee1fe-7892-41b7-9b55-c9527c9e027e,Postumius,char-offset:11393,PERSON,,,,,,"4,49",,416-414 B. C.,
4b9276b2-e8c7-4c5a-b862-0c850298509e,Postumius,char-offset:11992,PERSON,,,,,,"4,49",,416-414 B. C.,
417624f2-f66e-4558-9723-026bfef47773,Postumius,char-offset:12991,PERSON,,,,,,"4,50",,414-413 B. C.,
6db60357-1c47-42cf-b4d0-1f87f57402f9,Postumius,char-offset:13630,PERSON,,,,,,"4,50",,414-413 B. C.,
8beb1296-286d-4936-abac-ac7cdb6ae97d,Postumius,char-offset:15355,PERSON,,,,,,"4,51",,414-413 B. C.,
fde0a67e-b646-4b9d-a769-344c505ef565,Postumius Aebutius Cornicinen,char-offset:31126,PERSON,,,,,,"4,11",,441 B. C.,
b53fd5bf-e472-4adf-9816-b5929c234ac2,Postumius Aebutius Helva,char-offset:14808,PERSON,,,,,,"4,21",,436 B.C.,
68c1af88-8399-467d-bef2-90f6ca2af097,Postumius Albus,char-offset:22067,PERSON,,,,,,"4,25",,432 B.C.,
99dba3c5-2642-46d7-9311-88b46636a0a0,Postumius Albus,char-offset:29826,PERSON,,,,,,"4,27",,431 B.C.,
6acd6eaa-f4fb-48e1-b95a-3ce48d3bdb90,Postumius Albus,char-offset:32579,PERSON,,,,,,"4,28",,431 B.C.,
174d0395-eda9-49dc-bf33-55a7a1926960,Postumius Tubertus,char-offset:26695,PERSON,,,,,,"4,41",,423 B. C.,
f2e05dc2-4743-42e3-9313-3d06c4cb9076,Q. Caecilius,char-offset:1227,PERSON,,,,,,"4,16",,439 B. C.,
a028f8ad-39ff-4a88-93e3-a2fc946a869a,Q. Fabius Ambustus,char-offset:17366,PERSON,,,,,,"4,52",,412-411 B. C.,
fa50490c-b24b-402f-9801-461e7903960f,Q. Fabius Vibulanus,char-offset:14954,PERSON,,,,,,"4,37",,423 B. C.,
5f5c5619-3e88-4a07-9d23-da2aef6ee080,Q. Fabius Vibulanus,char-offset:9977,PERSON,,,,,,"4,49",,416-414 B. C.,
36c57888-0270-4f78-93aa-5c82692e7f04,Q. Fabius Vibulanus,char-offset:14995,PERSON,,,,,,"4,51",,414-413 B. C.,
cd915827-9e4e-4f71-ab92-e98c5479c5ca,Q. Junius,char-offset:1241,PERSON,,,,,,"4,16",,439 B. C.,
bed11c20-1ef0-4d80-8ce7-01cae8088df5,Q. Quinctius Cincinnatus,char-offset:8739,PERSON,,,,,,"4,49",,416-414 B. C.,
75700d72-4ccf-430d-8d88-5929bf360b92,Q. Quinctius Cincinnatus,char-offset:41768,PERSON,,,,,,"4,61",,404 B.C.,
663e3eb5-f3d0-4b42-bf39-06aafbca0c47,Q. Servilius,char-offset:38358,PERSON,,,,,,"4,45",,419 B. C.,
5a3f360f-0124-4d43-bf66-b27cdc3922f9,Q. Servilius,char-offset:36828,PERSON,,,,,,"4,30",,430-428 B. C.,
9cdb7bb9-d84d-433c-b887-3ad6dc7b529d,Q. Servilius,char-offset:751,PERSON,,,,,,"4,46",,418 B. C.,
2266106e-e2ed-4d80-aa32-d40411327c8a,Q. Servilius,char-offset:2441,PERSON,,,,,,"4,46",,418 B. C.,
8785b545-967d-454f-8beb-5937f54a13f6,Q. Servilius Priscus,char-offset:6818,PERSON,,,,,,"4,48",,417 B. C.,
0485c1b8-7935-4a57-9574-b1eb5bcec224,Q. Silius,char-offset:22834,PERSON,,,,,,"4,54",,409 B.C.,
91b04a1b-949d-4318-9774-72dec5fd7eb1,Q. Sulpicius,char-offset:16867,PERSON,,,,,,"4,23",,434 B.C.,
537fe599-66eb-4fae-bfdc-1dcb628cba13,Q. Sulpicius,char-offset:30024,PERSON,,,,,,"4,27",,431 B.C.,
3fc368f2-33be-4431-b8a3-b35ef449d6f7,Q. Tubero,char-offset:16837,PERSON,,,,,,"4,23",,434 B.C.,
8bc42b7e-c07a-46fa-90a9-ecb050c4e4c6,Quinctii,char-offset:17723,PERSON,,,,,,"4,6",,445 B.C.,
d423f4e5-e64b-4bb1-a276-355f749664f8,Quinctius,char-offset:30377,PERSON,,,,,,"4,10",,443 B. C.,
74273d53-ff90-414e-893d-1e418b72b224,Quinctius,char-offset:38707,PERSON,,,,,,"4,13",,439 B. C.,
7a415f74-560f-4fa1-8a2d-175a52f47703,Quinctius,char-offset:39258,PERSON,,,,,,"4,13",,439 B. C.,
7ba225f7-5192-4d91-a8e6-a48422520830,Quinctius,char-offset:40286,PERSON,,,,,,"4,14",,439 B. C.,
448a341b-454c-46b9-9d63-02f42cbbbf24,Quinctius,char-offset:28475,PERSON,,,,,,"4,27",,431 B.C.,
88d7801b-c26b-483b-88a5-ffcee1e91907,Quinctius,char-offset:35154,PERSON,,,,,,"4,29",,431-429 B. C.,
49b654f2-d555-4860-9f34-147d4ecbc8c2,Quinctius,char-offset:39161,PERSON,,,,,,"4,30",,430-428 B. C.,
97ad5da6-2501-4c5e-a327-0187432f0fdb,Quinctius,char-offset:4884,PERSON,,,,,,"4,32",,426 B.C,
fd855d58-b7e1-413a-8ca0-ae8259099134,Quinctius,char-offset:6149,PERSON,,,,,,"4,33",,426 B.C,
4748f1fa-ab15-491c-b4d1-e5a1a5504388,Quinctius,char-offset:7841,PERSON,,,,,,"4,33",,426 B.C,
ba8c61ac-3ada-4c36-90ae-a30b749cce4d,Quinctius,char-offset:8823,PERSON,,,,,,"4,33",,426 B.C,
703000b3-c5a3-4978-bc27-ca1d7fc08c15,Quinctius Capitolinus,char-offset:4443,PERSON,,,,,,"4,17",,438 B.C.,
9b4e4482-4264-46dd-890a-cb63af36af50,Quintus Servilius Priscus,char-offset:25936,PERSON,,,,,,"4,26",,431 B.C.,
b0103403-3921-4528-81af-ac18f0c0fd4a,Quirites,char-offset:19854,PERSON,,,,,,"4,24",,433 B. C.,
d31bd70a-2299-4029-9a60-b25ed1584509,Quirites,char-offset:6455,PERSON,,,,,,"4,3",,445 B.C.,
47cb06e0-f866-4a73-9dfe-b625a68dd877,Quirites,char-offset:12082,PERSON,,,,,,"4,49",,416-414 B. C.,
6ead66e9-6b7d-447c-87c6-243bfea4031a,Quirites,char-offset:14887,PERSON,,,,,,"4,5",,445 B.C.,
02e25da6-91f2-445e-9abd-7f329f71d277,Roman,char-offset:16837,PEOPLE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,37",,423 B. C.,
c0b5207a-5240-4c38-83c5-7e0176901a54,Roman,char-offset:5995,PEOPLE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,18",,437 B. C.,
c810c182-6ae6-4c41-b4a7-c2b90ee71843,Roman,char-offset:8821,PEOPLE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,19",,437 B. C.,
1dcc8c9a-c11d-4cf7-afea-08067f89eef7,Roman,char-offset:16270,PEOPLE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,22",,435 B.C.,
320925ce-d4a4-44b6-a7ef-8cbc7ef4c97c,Romans,char-offset:2236,PEOPLE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,17",,438 B.C.,
4a210deb-c9d3-4aff-a116-72f8b86881d0,Romans,char-offset:5639,PEOPLE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,18",,437 B. C.,
44ce75ef-e905-472e-84f9-9dd2721466ac,Romans,char-offset:6989,PEOPLE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,18",,437 B. C.,
c50d034d-becc-4276-b0e0-854971f567ec,Romans,char-offset:25250,PEOPLE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,26",,431 B.C.,
3e86d52b-a290-4447-9c04-dbb13ee54c0e,Rome,char-offset:32498,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,43",,421 B. C.,
f15c8eaa-6bcd-45df-8d07-fbba80930b12,Rome,char-offset:36472,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,45",,419 B. C.,
39cfd2d8-5d2e-402a-9c59-82f5440b7f4a,Rome,char-offset:37088,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,45",,419 B. C.,
cd03e84e-5d90-4dbe-8ed7-f2c5092d7943,Rome,char-offset:28932,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,10",,443 B. C.,
0673c038-dadc-41ad-852d-f38fc044d29d,Rome,char-offset:29236,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,10",,443 B. C.,
60d32972-6d6b-4eac-add4-90eeedcfedde,Rome,char-offset:30242,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,10",,443 B. C.,
d3068abf-8ffe-43f8-a494-0b185e3086b8,Rome,char-offset:3240,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,17",,438 B.C.,
61d4972a-e17f-4606-bf56-f0ba505645bb,Rome,char-offset:6558,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,18",,437 B. C.,
22952d26-f9b5-4534-b9ea-bd99d2dafeeb,Rome,char-offset:2591,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,2",,445 B.C.,
f92692cc-1c41-4752-89e3-464c1bca7075,Rome,char-offset:14154,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,21",,436 B.C.,
a1217a79-1ae8-4455-beea-b2a54e64e786,Rome,char-offset:15756,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,22",,435 B.C.,
979b70d5-b577-4332-9cb0-48e904913cb9,Rome,char-offset:22593,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,25",,432 B.C.,
4dfcc9c6-e52f-4da3-bb25-cd30f4e96432,Rome,char-offset:25046,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,26",,431 B.C.,
ea330f95-5dc1-45cd-a64f-fd6753b76336,Rome,char-offset:35432,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,29",Enemy,431-429 B. C.,
09a606b5-6c33-43ab-8dd7-4e53a52692cd,Rome,char-offset:8816,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,3",,445 B.C.,
6617501f-f7b7-400f-9b5e-c6a015f83f7c,Rome,char-offset:36002,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,30",,430-428 B. C.,
01db7faf-fbf3-4cdb-9c5e-87594bc98051,Rome,char-offset:36239,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,30",,430-428 B. C.,
4a3e7845-48fc-4dd7-a8ea-9798c5186f20,Rome,char-offset:2210,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,32",,426 B.C,
96f57042-1266-45b0-8833-790139cf2f0b,Rome,char-offset:4128,PLACE,http://pleiades.stoa.org/places/423025,"Roma|Roma, Roma|Rome",41.89262,12.4843457,"settlement,urban","4,32",,426 B.C,
