UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,CITE,Relationship,Date,Location Precision 
34ae0655-0b6f-416f-a932-91373c1080d2,Eretum,char-offset:113512,PLACE,http://pleiades.stoa.org/places/413212,"Montelibretti|Colle del Forno, Montelibretti|Eretum|Eretum/Aquae Labanae, Casa Cotta, Montelibretti|Rimane, Ponte di Casa Cotta, Montelibretti",42.118392,12.645247,settlement,"3,40",,450 B.C.,
7b60d7b5-9adf-4360-a8db-9bea9b65432d,Eretum,char-offset:113568,PLACE,http://pleiades.stoa.org/places/413212,"Montelibretti|Colle del Forno, Montelibretti|Eretum|Eretum/Aquae Labanae, Casa Cotta, Montelibretti|Rimane, Ponte di Casa Cotta, Montelibretti",42.118392,12.645247,settlement,"3,40",,450 B.C.,
03d9d083-1c8b-4813-89db-83d51c96941a,Esquiline,char-offset:185245,PLACE,http://pleiades.stoa.org/places/866548110,Auditorium Maecenatis,41.8940964,12.5012225,architecturalcomplex,"3,68",,449 B.C.,
26688480-cbd8-4f41-af1d-8599220ad364,Fabius,char-offset:114,PERSON,,,,,,"3,1",,467 B.C.,
e09cbdf1-6fdc-42dd-b771-fde50f634e84,Fabius,char-offset:968,PERSON,,,,,,"3,1",,467 B.C.,
b2c1642a-f57b-4422-a831-d001617392da,Fabius,char-offset:2398,PERSON,,,,,,"3,2",,467 B.C.,
c411cf87-15e5-4a67-a2b7-cb79c9fa457a,Fabius,char-offset:25329,PERSON,,,,,,"3,12",,461 B.C.,
d82ba763-526c-41cb-af2c-8932e2a5c1e0,Fabius,char-offset:61106,PERSON,,,,,,"3,19",,460 B.C.,
66d26edd-2e65-4757-8513-2618ea7a372e,Fabius,char-offset:61862,PERSON,,,,,,"3,19",,460 B.C.,
715ac042-78de-4429-a67a-e093f407834e,Fabius,char-offset:63595,PERSON,,,,,,"3,20",,460 B.C.,
9e0117d4-e58e-4c07-b791-3675421adc81,Fabius,char-offset:112339,PERSON,,,,,,"3,39",,450 B.C.,
92260b97-e817-4ff0-8ab4-11604a833e89,Fabius Quintus,char-offset:80057,PERSON,,,,,,"3,28",,458 B.C.,
d0ac27ed-9320-4c09-bcc2-2070bafc1d6b,Fidenae,char-offset:113677,PLACE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"3,40",,450 B.C.,
3308483c-6ddd-4625-9491-101faec44224,Fidenae,char-offset:114635,PLACE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"3,42",,450 B.C.,
6fb6f4df-3569-4cb3-96db-c4c705f7cbbb,Flaminian Meadows,char-offset:147736,PLACE,,,,,,"3,55",,449 B.C.,
55b89d41-f42d-41ac-87df-acb9882277ed,Flaminian Meadows,char-offset:173318,PLACE,,,,,,"3,63",,449 B.C.,
9e7643f9-95ba-409d-a652-47cb5630b226,Forum,char-offset:131507,PLACE,http://pleiades.stoa.org/places/188321148,Forum of Pompeii,40.7491758,14.4851429,plaza,"3,48",,450 B.C.,
