QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,CITATION,RELATIONSHIP (ALLY/ENEMY),DATE,LOCATION PRECISION 
Etruscans,char-offset:19809,PEOPLE,http://pleiades.stoa.org/places/413122,Etruria/Tuscia,42.42102875,11.75274412,region,"1,8",,750 B.C.,YES
Euganei,char-offset:692,PLACE,,,,,,"1,1",,1200 B.C.,NO
Ferentina,char-offset:135560,PLACE,http://pleiades.stoa.org/places/413132,"Ferentium|Ferentium, Ferento, Viterbo",42.48876,12.1316,"theatre,settlement","1,50",,530 B.C.,YES
Ferentina,char-offset:140565,PLACE,http://pleiades.stoa.org/places/413132,"Ferentium|Ferentium, Ferento, Viterbo",42.48876,12.1316,"theatre,settlement","1,51",,530 B.C.,YES
Ferentina,char-offset:141978,PLACE,http://pleiades.stoa.org/places/413132,"Ferentium|Ferentium, Ferento, Viterbo",42.48876,12.1316,"theatre,settlement","1,52",,530 B.C.,YES
Feronia,char-offset:82289,PLACE,http://pleiades.stoa.org/places/413184,"Lucus Feroniae|Lucus Feroniae|Lucus Feroniae, Lucus Feronia, Capena|Lucus Feroniae, Santuario di Feronia, Terracina",42.129717,12.596872,"sanctuary,villa,settlement","1,30",,650 B.C.,YES
Ficus Ruminalis,char-offset:8767,PLACE,http://pleiades.stoa.org/places/971691208,Palatinus Mons,41.8893064,12.4871093,hill,"1,4",,,YES
Fidenae,char-offset:36360,PLACE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"1,14",,750 B.C.,YES
Fidenae,char-offset:36617,PLACE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"1,14",,750 B.C.,YES
Fidenae,char-offset:36990,PLACE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"1,14",,750 B.C.,YES
Fidenae,char-offset:38396,PLACE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"1,15",,750 B.C.,YES
Fidenae,char-offset:72633,PLACE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"1,27",,670 B.C.,YES
Fidenae,char-offset:73083,PLACE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"1,27",,670 B.C.,YES
Fidenates,char-offset:37934,PEOPLE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"1,14",,750 B.C.,YES
Fidenates,char-offset:38480,PEOPLE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"1,15",,750 B.C.,YES
Fidenates,char-offset:73153,PEOPLE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"1,27",,670 B.C.,YES
Fidenates,char-offset:73306,PEOPLE,http://pleiades.stoa.org/places/422923,"Fidenae|Fidenae, Borgata Fidene, Roma",41.97853,12.51232,settlement,"1,27",,670 B.C.,YES
