UUID,QUOTE_TRANSCRIPTION,ANCHOR,TYPE,URI,VOCAB_LABEL,LAT,LNG,PLACE_TYPE,Cite,Relationship,Date,Location Precision 
b13554f6-87e0-43a5-86d7-3ccbee8c5246,Greek,char-offset:48536,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,31",,,
b30530fe-d7af-488a-82f7-3e5e91f017e0,Greek,char-offset:52904,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,33",,,
4a8059bc-4680-4089-bdbf-154ba4735589,Greek,char-offset:53477,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,33",,,
25ab66ea-53ef-443b-9742-739b5d251ade,Greek,char-offset:53674,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,34",,,
5ee7c8b2-beb6-49b9-92b7-447717de1d38,Greek,char-offset:54163,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,34",,,
6e567fb8-1eac-45a4-b8da-3cf40b5f64db,Greek,char-offset:55663,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,34",,,
9c5e5b46-206b-42c0-a8fb-d2cc8bac6d91,Greek,char-offset:57440,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,35",,,
387a6204-afd8-4148-a789-cadd939ec0db,Greek,char-offset:57743,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,35",,,
8aa09b34-0617-43ed-91d4-48dc28c376e4,Greek,char-offset:69779,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,40",,,
fc11c8a3-b36c-4af7-92d8-fba827762216,Greek,char-offset:69983,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,40",,,
76561530-f7a8-4d61-a43f-ba375b608f14,Greek,char-offset:74364,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,42",,,
9b08c0d9-088b-424e-8d2e-54abf250ae38,Greek,char-offset:1838,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,45",,,YES
a217b2a3-ba45-4e73-9afc-404957143b78,Greek,char-offset:31761,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,57",,,YES
a17b4eda-90d6-49fe-99d7-91493be72ea6,Greek,char-offset:34371,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,58",,,YES
fce393ce-7822-4408-beca-c282338e1fed,Greek,char-offset:35981,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,59",,,YES
4fa4620c-3db4-408a-9c85-954dd95fd786,Greek,char-offset:39251,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,61",,,YES
4042f330-a433-4bbf-8fb1-03acd44b8b38,Greek,char-offset:43181,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,62",,,YES
43271f61-93ac-4ed9-94b7-79829e2edf3e,Greek,char-offset:46346,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,64",,,YES
4243ed25-4579-4ed7-ba76-4f5148811540,Greek,char-offset:50645,PEOPLE,http://sws.geonames.org/390903,Greece,39.04697922,22.97947876,,"1,66",,,YES
